item.id,item.name,volume,category,subcategory
42,Laphroaig w/ Whiskey Stones,750,Whisky,Miscellaneous Whiskies
48,Calumet Farm Bourbon VAP,750,Whisky,Miscellaneous Whiskies
51,Glenmorangie Original w/ Quinta Ruban & Lasanta,2250,Whisky,Miscellaneous Whiskies
53,Knob Creek w/ Crystal Decanter,1750,Misc,Miscellaneous Liquors
56,Forbidden Secret Coffee Pack,750,Misc,Cordials & Liqueurs
57,Forbidden Secret Coffee Pack,1500,Misc,Cordials & Liqueurs
58,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,150,Amaretto,Miscellaneous Amarettos
59,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,150,Amaretto,Miscellaneous Amarettos
62,"Rumchata """"""""GoChatas""""""""",6000,Misc,Cream Liqueurs
69,Templeton Rye w/Flask,750,Misc,Miscellaneous Liquors
70,Templeton Rye w/Flask,750,Misc,Miscellaneous Liquors
74,Crown Royal Tailgate Pack w/2 Reusable Glasses,750,Misc,Miscellaneous Liquors
75,Crystal Head w/Shaker,750,Misc,Miscellaneous Liquors
76,Wyborowa Vodka w/2 Shot Glasses,750,Vodka,Miscellaneous Vodkas
77,Absolut with Ginger Beer,750,Misc,Miscellaneous Liquors
80,Itty Bitty Juggs Sample Pack,200,Misc,Cordials & Liqueurs
81,Bailey's Original Irish Cream Multi Pack,200,Misc,Miscellaneous Liquors
82,Remy V w/Glass,750,Misc,Miscellaneous Liquors
83,Jack Daniels TN Honey & Jack Daniels TN Fire 750mls w/2Gls,1500,Whisky,Miscellaneous Whiskies
84,Licor 43 w/2 Cocktail Glasses,750,Misc,Miscellaneous Liquors
85,Kinky Vodka Martini Pack,3600,Vodka,Miscellaneous Vodkas
87,Skyy Bundle Up,750,Vodka,Vodkas
88,Blackheart Playboy Edition,750,Misc,Miscellaneous Liquors
89,Cointreau w/ Lime Squeezer,750,Misc,Miscellaneous Liquors
91,Bailey's Original Irish Cream w/4 Shot Glasses,750,Misc,Miscellaneous Liquors
92,Bird Dog Bourbon w/4-50mls,950,Whisky,Miscellaneous Whiskies
94,Bird Dog Peach w/4-50mls,950,Misc,Miscellaneous Liquors
95,Bird Dog Peach w/ BBQ Sauce,750,Misc,Miscellaneous Liquors
96,Basil Hayden w/ Shaker,750,Misc,Miscellaneous Liquors
97,Disaronno Amaretto Cavalli w/2 Glasses,750,Misc,Miscellaneous Liquors
98,Jim Beam w/ Barbecue Sauce,750,Whisky,Straight Bourbon Whiskies
101,Jim Beam Black w/4-50mls,950,Misc,Miscellaneous Liquors
102,Jim Beam Black w/Grill Mitt,750,Misc,Miscellaneous Liquors
110,Jim Beam White w/2 Glasses,750,Misc,Miscellaneous Liquors
113,Knob Creek w/Glasses,750,Misc,Miscellaneous Liquors
117,Knob Creek w/2-50mls,850,Misc,Miscellaneous Liquors
119,Maker's Mark Co-Pack,750,Misc,Miscellaneous Liquors
122,Glenmorangie Pioneer Pack,850,Whisky,Single Malt Scotch
124,Glenmorangie Pioneer Pack,2550,Whisky,Single Malt Scotch
125,Jack Daniels w/Glass,750,Whisky,Miscellaneous Whiskies
130,Jack Daniels Tennessee Honey w/Glass,750,Whisky,Miscellaneous Whiskies
131,Southern Comfort w/Shot Glass & Lanyard,750,Whisky,Miscellaneous Whiskies
132,Southern Comfort w/Shot Glass & Lanyard,750,Whisky,Miscellaneous Whiskies
